2024-11-26 17:36:29,198 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Configure stats pid to 79423
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Loading settings from /Users/daniekru/.config/wandb/settings
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Loading settings from /Users/daniekru/Research/lab/minBandit/src/wandb/settings
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'minBandit', 'entity': 'ikiru-university-of-oslo', 'root_dir': '/Users/daniekru/Research/lab/minBandit/src', 'run_id': 'insm9dle', 'sweep_param_path': '/Users/daniekru/Research/lab/minBandit/src/wandb/sweep-ijlvudyf/config-insm9dle.yaml', 'sweep_id': 'ijlvudyf'}
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src/param_search.py', 'program_abspath': '/Users/daniekru/Research/lab/minBandit/src/param_search.py', 'program': '/Users/daniekru/Research/lab/minBandit/src/param_search.py'}
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:_log_setup():533] Logging user logs to /Users/daniekru/Research/lab/minBandit/src/wandb/run-20241126_173629-insm9dle/logs/debug.log
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/daniekru/Research/lab/minBandit/src/wandb/run-20241126_173629-insm9dle/logs/debug-internal.log
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():619] calling init triggers
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():626] wandb.init called with sweep_config: {'alpha': 2.7716255499887605, 'alpha_lr': -1.6280719923125733, 'beta': 6.634782615937691, 'beta_lr': 9.17071033947988, 'gain': 28.446566343380812, 'lr': 1.5206376368849417, 'mu': -1.4864477249077732, 'mu_lr': -2.22420006141809, 'r': 0.12569872624891243, 'r_lr': 0.023489876376719065, 'sigma': 1.3842240026965331, 'sigma_lr': 2.4949975955196937, 'threshold': 3.082620348303851, 'w_max': 1.711904389299285}
config: {}
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():669] starting backend
2024-11-26 17:36:29,199 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():673] sending inform_init request
2024-11-26 17:36:29,206 INFO    Thread-78 (_run_job):79423 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-26 17:36:29,207 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():686] backend started and connected
2024-11-26 17:36:29,217 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_config_callback():1387] config_cb None None {'alpha': 2.7716255499887605, 'alpha_lr': -1.6280719923125733, 'beta': 6.634782615937691, 'beta_lr': 9.17071033947988, 'gain': 28.446566343380812, 'lr': 1.5206376368849417, 'mu': -1.4864477249077732, 'mu_lr': -2.22420006141809, 'r': 0.12569872624891243, 'r_lr': 0.023489876376719065, 'sigma': 1.3842240026965331, 'sigma_lr': 2.4949975955196937, 'threshold': 3.082620348303851, 'w_max': 1.711904389299285}
2024-11-26 17:36:29,219 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():781] updated telemetry
2024-11-26 17:36:29,250 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-26 17:36:29,644 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():867] starting run threads in backend
2024-11-26 17:36:29,762 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_console_start():2456] atexit reg
2024-11-26 17:36:29,762 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-26 17:36:29,762 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-26 17:36:29,762 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-26 17:36:29,762 INFO    Thread-78 (_run_job):79423 [wandb_init.py:init():911] run started, returning control to user process
2024-11-26 17:37:26,224 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_finish():2155] finishing run ikiru-university-of-oslo/minBandit/insm9dle
2024-11-26 17:37:26,225 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-26 17:37:26,226 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_restore():2402] restore
2024-11-26 17:37:26,226 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_restore():2408] restore done
2024-11-26 17:37:28,514 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-26 17:37:28,514 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-26 17:37:28,527 INFO    Thread-78 (_run_job):79423 [wandb_run.py:_footer_sync_info():3921] logging synced files
