2024-11-28 15:55:35,759 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Configure stats pid to 10301
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Loading settings from /Users/daniekru/.config/wandb/settings
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Loading settings from /Users/daniekru/Research/lab/minBandit/src/wandb/settings
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'minBandit', 'entity': 'ikiru-university-of-oslo', 'root_dir': '/Users/daniekru/Research/lab/minBandit/src', 'run_id': 'n3kmi46b', 'sweep_param_path': '/Users/daniekru/Research/lab/minBandit/src/wandb/sweep-4ixq6an5/config-n3kmi46b.yaml', 'sweep_id': '4ixq6an5'}
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src/param_search.py', 'program_abspath': '/Users/daniekru/Research/lab/minBandit/src/param_search.py', 'program': '/Users/daniekru/Research/lab/minBandit/src/param_search.py'}
2024-11-28 15:55:35,760 INFO    Thread-12 (_run_job):10301 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:_log_setup():533] Logging user logs to /Users/daniekru/Research/lab/minBandit/src/wandb/run-20241128_155535-n3kmi46b/logs/debug.log
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/daniekru/Research/lab/minBandit/src/wandb/run-20241128_155535-n3kmi46b/logs/debug-internal.log
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():619] calling init triggers
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():626] wandb.init called with sweep_config: {'alpha': 1.2587757438055824, 'alpha_lr': 0.3969938091368887, 'beta': 0.3568290672675558, 'beta_lr': 0.5729767809626145, 'gain': 26.502309804742332, 'lr': 2.087671478994785, 'mu': 0.800532605927061, 'mu_lr': -2.43382036499022, 'r': 0.590879946523224, 'r_lr': 0.5664472387386074, 'sigma': 3.618694932051117, 'sigma_lr': 1.6814177882965526, 'threshold': 6.6300810772169605, 'w_max': 4.056805324252279}
config: {}
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():669] starting backend
2024-11-28 15:55:35,761 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():673] sending inform_init request
2024-11-28 15:55:35,770 INFO    Thread-12 (_run_job):10301 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-28 15:55:35,771 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():686] backend started and connected
2024-11-28 15:55:35,781 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_config_callback():1387] config_cb None None {'alpha': 1.2587757438055824, 'alpha_lr': 0.3969938091368887, 'beta': 0.3568290672675558, 'beta_lr': 0.5729767809626145, 'gain': 26.502309804742332, 'lr': 2.087671478994785, 'mu': 0.800532605927061, 'mu_lr': -2.43382036499022, 'r': 0.590879946523224, 'r_lr': 0.5664472387386074, 'sigma': 3.618694932051117, 'sigma_lr': 1.6814177882965526, 'threshold': 6.6300810772169605, 'w_max': 4.056805324252279}
2024-11-28 15:55:35,784 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():781] updated telemetry
2024-11-28 15:55:35,817 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-28 15:55:36,122 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():867] starting run threads in backend
2024-11-28 15:55:36,259 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_console_start():2456] atexit reg
2024-11-28 15:55:36,259 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-28 15:55:36,259 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-28 15:55:36,259 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-28 15:55:36,260 INFO    Thread-12 (_run_job):10301 [wandb_init.py:init():911] run started, returning control to user process
2024-11-28 16:00:56,116 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_finish():2155] finishing run ikiru-university-of-oslo/minBandit/n3kmi46b
2024-11-28 16:00:56,117 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-28 16:00:56,117 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_restore():2402] restore
2024-11-28 16:00:56,117 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_restore():2408] restore done
2024-11-28 16:00:58,315 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-28 16:00:58,315 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-28 16:00:58,319 INFO    Thread-12 (_run_job):10301 [wandb_run.py:_footer_sync_info():3921] logging synced files
